Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonS3,WebsiteGetObject,Requests-Tier2,www.eloperdev.com,09/22/11 00:00:00,09/23/11 00:00:00,5
AmazonS3,WebsiteGetObject,DataTransfer-Out-Bytes,www.eloperdev.com,09/22/11 00:00:00,09/23/11 00:00:00,14677
AmazonS3,WebsiteGetObject,Requests-Tier2,www.eloperdev.com,09/23/11 00:00:00,09/24/11 00:00:00,10
AmazonS3,WebsiteGetObject,DataTransfer-Out-Bytes,www.eloperdev.com,09/23/11 00:00:00,09/24/11 00:00:00,23803
AmazonS3,StandardStorage,TimedStorage-ByteHrs,www.eloperdev.com,09/23/11 00:00:00,09/24/11 00:00:00,21278544
AmazonS3,StandardStorage,StorageObjectCount,www.eloperdev.com,09/23/11 00:00:00,09/24/11 00:00:00,19
AmazonS3,WebsiteGetObject,Requests-Tier2,www.eloperdev.com,09/24/11 00:00:00,09/25/11 00:00:00,8
AmazonS3,WebsiteGetObject,DataTransfer-Out-Bytes,www.eloperdev.com,09/24/11 00:00:00,09/25/11 00:00:00,18635
AmazonS3,StandardStorage,TimedStorage-ByteHrs,www.eloperdev.com,09/24/11 00:00:00,09/25/11 00:00:00,21278544
AmazonS3,StandardStorage,StorageObjectCount,www.eloperdev.com,09/24/11 00:00:00,09/25/11 00:00:00,19
AmazonS3,WebsiteGetObject,DataTransfer-Out-Bytes,www.eloperdev.com,09/25/11 00:00:00,09/26/11 00:00:00,25780
AmazonS3,WebsiteGetObject,Requests-Tier2,www.eloperdev.com,09/25/11 00:00:00,09/26/11 00:00:00,12
AmazonS3,StandardStorage,TimedStorage-ByteHrs,www.eloperdev.com,09/25/11 00:00:00,09/26/11 00:00:00,21278544
AmazonS3,StandardStorage,StorageObjectCount,www.eloperdev.com,09/25/11 00:00:00,09/26/11 00:00:00,19
AmazonS3,WebsiteGetObject,Requests-Tier2,www.eloperdev.com,09/26/11 00:00:00,09/27/11 00:00:00,8
AmazonS3,WebsiteGetObject,DataTransfer-Out-Bytes,www.eloperdev.com,09/26/11 00:00:00,09/27/11 00:00:00,16927
AmazonS3,StandardStorage,TimedStorage-ByteHrs,www.eloperdev.com,09/26/11 00:00:00,09/27/11 00:00:00,21278544
AmazonS3,StandardStorage,StorageObjectCount,www.eloperdev.com,09/26/11 00:00:00,09/27/11 00:00:00,19
AmazonS3,WebsiteGetObject,C3DataTransfer-Out-Bytes,www.eloperdev.com,09/26/11 00:00:00,09/27/11 00:00:00,3175
AmazonS3,WebsiteGetObject,Requests-Tier2,www.eloperdev.com,09/27/11 00:00:00,09/28/11 00:00:00,8
AmazonS3,WebsiteGetObject,DataTransfer-Out-Bytes,www.eloperdev.com,09/27/11 00:00:00,09/28/11 00:00:00,20102
AmazonS3,StandardStorage,StorageObjectCount,www.eloperdev.com,09/27/11 00:00:00,09/28/11 00:00:00,19
AmazonS3,StandardStorage,TimedStorage-ByteHrs,www.eloperdev.com,09/27/11 00:00:00,09/28/11 00:00:00,21278544
AmazonS3,WebsiteGetObject,Requests-Tier2,www.eloperdev.com,09/28/11 00:00:00,09/29/11 00:00:00,2
AmazonS3,WebsiteGetObject,DataTransfer-Out-Bytes,www.eloperdev.com,09/28/11 00:00:00,09/29/11 00:00:00,3701
AmazonS3,StandardStorage,TimedStorage-ByteHrs,www.eloperdev.com,09/28/11 00:00:00,09/29/11 00:00:00,21278544
AmazonS3,StandardStorage,StorageObjectCount,www.eloperdev.com,09/28/11 00:00:00,09/29/11 00:00:00,19
AmazonS3,WebsiteGetObject,Requests-Tier2,www.eloperdev.com,09/29/11 00:00:00,09/30/11 00:00:00,6
AmazonS3,WebsiteGetObject,DataTransfer-Out-Bytes,www.eloperdev.com,09/29/11 00:00:00,09/30/11 00:00:00,16401
AmazonS3,StandardStorage,TimedStorage-ByteHrs,www.eloperdev.com,09/29/11 00:00:00,09/30/11 00:00:00,21278544
AmazonS3,StandardStorage,StorageObjectCount,www.eloperdev.com,09/29/11 00:00:00,09/30/11 00:00:00,19
AmazonS3,WebsiteGetObject,DataTransfer-Out-Bytes,www.eloperdev.com,09/30/11 00:00:00,10/01/11 00:00:00,6876
AmazonS3,WebsiteGetObject,Requests-Tier2,www.eloperdev.com,09/30/11 00:00:00,10/01/11 00:00:00,3
AmazonS3,StandardStorage,TimedStorage-ByteHrs,www.eloperdev.com,09/30/11 00:00:00,10/01/11 00:00:00,21278544
AmazonS3,StandardStorage,StorageObjectCount,www.eloperdev.com,09/30/11 00:00:00,10/01/11 00:00:00,19
AmazonS3,WebsiteGetObject,Requests-Tier2,www.eloperdev.com,10/01/11 00:00:00,10/02/11 00:00:00,7
AmazonS3,WebsiteGetObject,DataTransfer-Out-Bytes,www.eloperdev.com,10/01/11 00:00:00,10/02/11 00:00:00,16927
AmazonS3,StandardStorage,StorageObjectCount,www.eloperdev.com,10/01/11 00:00:00,10/02/11 00:00:00,19
AmazonS3,StandardStorage,TimedStorage-ByteHrs,www.eloperdev.com,10/01/11 00:00:00,10/02/11 00:00:00,21278544
AmazonS3,WebsiteGetObject,Requests-Tier2,www.eloperdev.com,10/02/11 00:00:00,10/03/11 00:00:00,7
AmazonS3,WebsiteGetObject,DataTransfer-Out-Bytes,www.eloperdev.com,10/02/11 00:00:00,10/03/11 00:00:00,19576
